angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.0,,,"[1313, 124, 1015, 1324]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.23,,"[1315, 125, 1013, 1322]","[1224, 1756, 26, 32]",,0.0,0.02,,0.0,0.1,,1.0,0.18,,0.0,0.05,,0.0,0.42,,0.0,0.01,
0.0,,,"[1315, 125, 1013, 1324]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1314, 125, 1015, 1327]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1313, 125, 1017, 1330]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1316, 123, 1016, 1331]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1317, 123, 1017, 1333]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.24,0.24,"[1316, 122, 1020, 1337]","[2931, 1945, 49, 61]","[1217, 1764, 26, 33]",0.0,0.0,0.05,0.0,0.11,0.08,1.0,0.06,0.15,0.0,0.06,0.04,0.0,0.52,0.43,0.0,0.01,0.01
0.0,0.25,,"[1316, 124, 1021, 1336]","[1218, 1766, 25, 32]",,0.0,0.06,,0.0,0.09,,1.0,0.13,,0.0,0.03,,0.0,0.43,,0.0,0.01,
0.0,,,"[1316, 124, 1023, 1338]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1316, 122, 1025, 1343]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.17,,"[1314, 121, 1029, 1348]","[1222, 1771, 24, 32]",,0.0,0.02,,0.0,0.12,,1.0,0.16,,0.0,0.05,,0.0,0.48,,0.0,0.01,
